reviewText,label
I purchased this cd for my Pocket Parrot. It has both a woman and a man speaking. Pet store recommends to buy a female voice Only on bird cds because birds respond to female voice better. Con: there's some real stupid things said on this CD. Prefer female voice because pet shop recommends female voice. Pros: it's cheap. I will review again in 6 months see if my Polly picks up few words.,3
"Maybe it's just my Amazon parrot, but she's not picking up very quickly or very well.",3
"I bought this to help me teach my blue quaker named Booger to talk and it sure has helped. I put it in the CD player and let it play all day while I am at work. It might drive Booger nuts, but he sure has learned a lot of words.",3
Didn't do a thing for my African Grey! He hated it and it was very obnoxious!!,3
I like it - but the Cockatiel I am not so sure - he listens but so far does not speak.,3
"This is a CD. I should have read better, I was expecting a DVD.",3
my parot loves this CD! started repeating the phrases after a week of listening.,3
I was reLly disappointed the cd has a lot of sayings that are really stupid. I was looking for one that repeats the same saying like six times in a row. Not all the unnecessary saying.,3
It does not contain many words that we would want our bird to incorporate into his repetoire.........description of item not extensive enough.  Shipment and transaction were handled professionally.,3
"Very fast service. My parrots are still not saying anything new, but I will continue to use it with the hope that after many repetitions they will pick up some more words.",3
"If you want your bird to interact with you, then interact with your bird. Parrots have the mental capacity of a 3-5 year old child. This is like plopping your child down in front of the TV and calling it quality time. Parrots learn to communicate dynamically not by rote. I have 5 parrots and all are chatty because we chat, while cleaning, cooking, doing laundry.. whatever. Turn off the TV and read aloud, talk, sing, dance.. be one of the flock.",3
"Really like this CD. You can choose to repeat whatever phrase you want your bird to say. Or just play the entire CD. Wish some of the phrases provided included the word ""parakeet"" since it includes others such as cockatiel or parrot.",3
"This is the biggest waste of money - do not buy it - it will not work!  It's just people saying a certain word, then a 10 second pause ... then a different word and another 10 second pause.  You can create your own if you really want to try this.  But you really should not leave this on for your bird all day - it should be done in 10 minute intervals only or your bird may get irritated by it (i know i get irritated by it after only 2 words).  Don't waste your money on this.",3
"seriously, buy a tape recorder and just play it continuously to your bird. at least then, it will be your own voice he's hearing and not just some random person saying 'hello' over and and over again. i'm sure repitition is good for them to learn, but i paid $11.99 for this? the entire cd is made up of random words or phrases all about 3-5 seconds long. the idea is to choose the one you want your bird to learn and then put the that track of the cd on repeat. it makes sense, but really, couldn't you do it yourself for free? also, alot of the words are things i wouln't want him to learn anyway, just random stuff you wouldn't normally even say yourself.",3
