reviewText,label
"What the heck? Is this a tutu for nuns? I know you can cut it but STILL. Also there aren't several layers of the tutu making it ""poof out"" It just lays flat. Needless to say it was returned.",2
"I used this skirt for a Halloween costume and glued a bunch of feathers over it.  It was exactly what I needed.  I liked that the elastic waist didn't dig in (no muffin top).  Two things to note though:  (i) it is a little long; I cut about 8 inches off, but it was really easy to do; and (ii) it is see-thru b/c unlined - I had to get a pair of yellow shorts to wear underneath which I hadn't planned on doing.",2
"This is thick enough that you can't see through it, but it is very long, so be sure to check the dimensions. I ended up cutting it shorter.",2
"Already have an Atlas, topo CD set of Northeast, Garmin GPS Vista with topo/street maps.  Once I found these Gazetteers, I bought one for every state in New England and New York.  Each of the above provide different levels of information and alternative routes and access to various locations, often places with no direct road or trails.  The gazatteers provide fast detail access to areas in question over the GPS or atlas and are invaluable to me while in the vehical.  Although, the GPS is my lifeline away from the vehical, the gazatteers are large and not weather resistant.",2
"More of a road map than a useful topographical map.  I don't think it would be good for any kind of orienteering.  Nice quality, and tons of details, but its not much more than a road atlas.",2
Comprehensive atlas. Very happy with how much detail is in here.  I do wish there was a more detailed map of Syracuse so I could use it to navigate in the city.,2
Delorme has always made the best book maps in the USA.  Three thumbs up!,2
"If you're interested in exploring any area of New York beyond the metropolitan areas, this Delorme Atlas and Gazetteer is your best bet. Over the years I've collected these gazetteers for quite a few states, and they've come in handy when exploring out-of-the-way places, as I'm fond of doing. For me, this atlas proved most useful when driving around and hiking in the Adirondacks. I was able to find ways to get to some remote areas, thanks to the fact that the maps show secondary roads and backroads, and also show hiking trails. Because the maps are topographical, I have a pretty good idea in advance as to the sort of terrain I can expect to encounter, particularly in the hillier and mountainous territory. While I've used this mostly as a guide to the Adirondacks, it also appears that it would be quite useful in exploring other parts of the state because of the detail it shows.",2
"I try to hike in the Catskills 2-3 times each month. The iOS maps app is great for getting me to the proper GPS point for the trailheads. The trouble is the return trip: in the remote areas I hike, it's unlikely that I'll have data service when it comes time to head home. No data service = no navigation. Having a USA road atlas in the car is great for getting from state to state or city to city, but it does you no good on small country roads. The scale of this map, however, does let you see those smaller roads.  This is in my car and stays in my car. It's a beautifully rendered set of maps that map geeks will just love.  And now I can find my way home.",2
"Really, 4.5/5 stars. Missing a little detail when it comes to access roads and parking areas on state lands. Other than that, it's excellent.",2
"These are the best maps, I get one for any state I'm traveling in.  Need to pick one up for my Florida trip this winter!",2
"Sure anyone can use GPS but on a road trip with 91 year old Dad you can't exactly jeep hin involved with the trip with technology. I drove, he navigated using this atlas. Easy to use. Only wish there was a whole map of NY, not the one on the back used as index.",2
"Great product, FAST delivery! Just what we needed for RV travel!",2
